,Roofline,Rank-1,Rank-2,Rank-3,Rank-4,Rank-5,Rank-6,Rank-7,Rank-8,Rank-9,Rank-10,Rank-11,Rank-12,Rank-13,Rank-14,Rank-15,Rank-16,Rank-17,Rank-18,Rank-19,Rank-20,Rank-21,Rank-22,Rank-23,Rank-24,Rank-25,Rank-26,Rank-27,Rank-28,Rank-29,Rank-30,Rank-31,Rank-32,Rank-33,Rank-34,Rank-35,Rank-36,Rank-37,Rank-38,Rank-39,Rank-40,Rank-41,Rank-42,Rank-43,Rank-44,Rank-45,Rank-46,Rank-47,Rank-48,Rank-49,Rank-50,Rank-51,Rank-52,Rank-53,Rank-54,Rank-55,Rank-56,Rank-57,Rank-58,Rank-59,Rank-60,Rank-61,Rank-62,Rank-63,Rank-64,Rank-65,Rank-66,Rank-67,Rank-68,Rank-69,Rank-70
Op.MASS.2D.P1,2.1898717866666667e-05,7.126719951629638e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Op.MASS.2D.P2,6.355006060606062e-05,0.00019101600050926208,0.00019013919830322267,0.0002566207885742188,0.00023709919452667239,0.0002628112077713013,0.0002464095950126648,0.00019656800031661988,0.00019214080572128295,0.00019912319779396057,0.00021889439821243286,0.00023224959373474121,0.0002725183963775635,0.0002077375888824463,0.00019691680073738097,0.0002600719928741455,0.00019970560073852538,0.00023952639102935792,0.0002071039915084839,0.0002773855924606323,0.0002911040067672729,0.00023952000141143798,0.00019026399850845336,0.0002628655910491943,0.0001932927966117859,0.00019818559885025026,0.00027644479274749757,0.00019357119798660277,0.00023606719970703125,0.00022134718894958498,0.0002013920068740845,0.0002507936000823975,0.00026634559631347654,0.00029746400117874145,0.00020836160182952882,0.00020278079509735108,0.0002612576007843018,0.00020954558849334718,0.00019866559505462647,0.00024252960681915282,0.0002816479921340943,0.0002565119981765747,0.0002616768002510071,0.0002703488111495972,0.0002878335952758789,0.0002706207990646362,0.0002566688060760498,0.0002721951961517334,0.00026347200870513915,0.0002919104099273682,0.00027371840476989745,0.0002369823932647705,0.0002317728042602539,0.0002446095943450928,0.0002679327964782715,0.00023650240898132323,0.0002394511938095093,0.00023420801162719727,0.0002463007926940918,0.0002395135998725891,0.00026991360187530517,0.0003092527985572815,0.00032119359970092775,0.0003695584058761597,0.0003958271980285645,0.00038001921176910404,0.0003128864049911499,0.00032652480602264405,0.0003730144023895264,0.0004036175966262818,0.00038656320571899417
Op.MASS.2D.P3,0.00021183353535353538,0.0004122192144393921,0.0005011360168457031,0.00042998080253601074,0.00046068801879882817,0.00048749442100524905,0.0005686111927032471,0.0004138591766357422,0.0004738687992095948,0.00040200958251953125,0.0005010256052017212,0.0004592496156692505,0.000535427188873291,0.0005906688213348389,0.0005295135974884034,0.000582476806640625,0.00045406877994537355,0.0005180096149444579,0.0004633152008056641,0.0004685823917388916,0.000509555196762085,0.0004353327989578247,0.0004036511898040772,0.0004662623882293701,0.0005537055969238281,0.0005441456079483032,0.0004630511999130249,0.0004818000078201294,0.0005416512012481689,0.0006346879959106445,0.0004978784084320068,0.00045403518676757817,0.00043887681961059575,0.00047982401847839357,0.0005217999935150147,0.0005371520042419433,0.0004212400197982788,0.00042979040145874026,0.00048491840362548826,0.00046065921783447266,0.000617247986793518,0.0004512832164764404,0.0005323503971099853,0.000524179220199585,0.0005892735958099365,0.0005546144008636474,0.000542848014831543,0.0005409744024276734,0.0005277024030685425,0.00043148319721221924,0.00042304320335388186,0.0004669663906097412,0.0005069199800491333,0.0005770368099212647,0.0004180271863937378,0.00048167359828948974,0.0005074463844299316,0.0004657087802886963,0.00046627361774444583,0.0004024719953536987,0.0005449503898620606,0.00045871520042419433,0.0005637311935424805,0.0004090496063232422,0.00047488319873809814,0.0004368256092071533,0.0005998319864273071,0.000459937596321106,0.0005243904113769531,0.0005957312107086181,0.0005372080087661744
Op.MASS.2D.P4,0.00042366707070707075,0.0008347856044769288,0.0008260448455810548,0.0006529248237609864,0.0008827615737915039,0.00073264319896698,0.0010750368118286134,0.001037660789489746,0.0011413151741027834,0.0007954655885696411,0.0008373104095458985,0.001156550407409668,0.0006907088041305543,0.0010060288429260254,0.0007176608085632325,0.0009962143898010255,0.0006867455959320068,0.0007893536090850831,0.0008670943737030029,0.0008413424015045166,0.0008713168144226075,0.001046241569519043,0.000764793586730957,0.0006570528030395509,0.0006804176092147828,0.0008980959892272949,0.0006878687858581543,0.000927510404586792,0.0010648096084594728,0.0008007552146911621,0.0010151328086853027,0.0007994112014770508,0.0009711584091186524,0.0009950048446655273,0.000954860782623291,0.0008750592231750488,0.0007883071899414063,0.0006913343906402588,0.0007358943939208985,0.0010730592250823975,0.0009249376296997071,0.0008958992004394531,0.000683462381362915,0.0008681392192840577,0.0007671823978424072,0.0008802576065063477,0.0008362112045288086,0.0006631807804107666,0.0008448848247528077,0.0007271584033966065,0.0011566399574279784,0.001050715208053589,0.0011739759922027588,0.0008261263847351074,0.0010856639862060547,0.0006813983917236329,0.0008094016075134278,0.0008797760009765626,0.0008627903938293457,0.0008530079841613769,0.0006857151985168457,0.001009065580368042,0.0007020448207855224,0.000779475212097168,0.0010159711837768556,0.0010286272048950196,0.0009394207954406738,0.0009096255779266358,0.0007790304183959961,0.0006546000003814698,0.000982763195037842
Op.MASS.2D.P5,0.0009267717171717173,0.0016818384170532229,0.0012063360214233398,0.0015572799682617186,0.0015469087600708006,0.001613822364807129,0.001654719924926758,0.0014898896217346192,0.0016341615676879885,0.0015813263893127442,0.0011821887969970704,0.0013685472011566162,0.001183347225189209,0.0016291007995605468,0.0012225215911865234,0.00187150239944458,0.0012505855560302735,0.0015691135883331298,0.001419814395904541,0.0018404640197753905,0.001320975971221924,0.001887164878845215,0.0016101856231689454,0.0016705647468566896,0.0014995871543884277,0.0012748607635498046,0.0013705920219421385,0.0015593055725097655,0.001231380796432495,0.001569975996017456,0.0012647840023040772,0.0018488479614257815,0.001930081558227539,0.0019523280143737792,0.0014999391555786132,0.0016431903839111328,0.001719923210144043,0.0017928592681884766,0.0013690384387969972,0.0012844223976135253,0.0016079679489135743,0.0018726623535156252,0.0015925408363342286,0.0015916704177856445,0.001730072021484375,0.0019589648246765134,0.0012342656135559084,0.0016567232131958008,0.001954441547393799,0.0013889120101928712,0.001831443214416504,0.00169411039352417,0.0012208255767822264,0.002006217670440674,0.001988559913635254,0.0016159215927124024,0.0014655584335327148,0.0016910287857055664,0.0012707647800445556,0.0015915936470031738,0.0020300767898559567,0.0017784223556518556,0.002110006332397461,0.0016119840621948243,0.0016388383865356447,0.0020702207565307614,0.0021435808181762693,0.001233030414581299,0.0015299279689788819,0.0016801167488098144,0.0016832063674926759
Op.MASS.2D.P6,0.0016311182222222222,0.00242959041595459,0.002789363193511963,0.001960793685913086,0.002492214393615723,0.002588572883605957,0.0026401727676391602,0.0024717376708984374,0.0018997023582458497,0.0025508800506591793,0.0026121280670166015,0.0025191280364990232,0.0019551631927490236,0.002684732818603516,0.0025610671997070315,0.0025188048362731934,0.0029983808517456056,0.001819067192077637,0.0027003103256225585,0.003274415969848633,0.0019285568237304687,0.0025280767440795902,0.0018875008583068846,0.003112748718261719,0.001954812812805176,0.0019341888427734375,0.0026333967208862306,0.0028197695732116697,0.0029574352264404302,0.0025745023727416993,0.00276243839263916,0.002775391960144043,0.0025241392135620117,0.0025337743759155274,0.0030765151977539063,0.0026656383514404294,0.002620035171508789,0.0025320976257324217,0.0030527744293212893,0.001971049690246582,0.002988916778564453,0.002929596710205078,0.0019477024078369141,0.0030199424743652344,0.0019663680076599122,0.0020580127716064455,0.0031163808822631837,0.002965401554107666,0.003183569622039795,0.003034249687194824,0.002550774383544922,0.003297235107421875,0.0033047359466552733,0.0025851360321044923,0.003222070503234863,0.002030950355529785,0.0019489791870117188,0.0019262720108032228,0.002082419204711914,0.0030678335189819337,0.002866982460021973,0.0032668960571289062,0.00335183048248291,0.003251865768432617,0.002594396781921387,0.0018945072174072265,0.0033304798126220707,0.0019459520339965822,0.0027494720458984376,0.0029100351333618164,0.0031638208389282224
Op.MASS.2D.P7,0.0026691025454545457,0.002823017802332666,0.004364956665039063,0.0038960527420043947,0.0037240161895751955,0.003944644737243652,0.004088063812255859,0.0028348719596862793,0.003907449531555175,0.004118649673461914,0.003918056106567383,0.004127795028686524,0.0028423808097839355,0.003919151878356933,0.00417046890258789,0.004051513671875,0.0030336095809936525,0.004114672088623047,0.004218227195739747,0.003078278350830078,0.004181644821166992,0.0028797648429870607,0.004639873504638672,0.003773321533203125,0.003689081764221191,0.0036648927688598633,0.0028195936203002933,0.00377770881652832,0.0044474784851074225,0.0038646097183227543,0.003930912017822266,0.002988211250305176,0.003997382354736328,0.005253454399108887,0.0030097951889038084,0.0039349632263183595,0.005840462493896485,0.004392147064208984,0.005255027198791505,0.005992700958251954,0.0029962560653686524,0.003775446319580078,0.0035249855041503907,0.0053402145385742185,0.002833641624450684,0.005415055847167969,0.00343559684753418,0.005248848152160646,0.0037985248565673827,0.003777510452270508,0.0031830255508422853,0.0038773729324340822,0.0031942048072814942,0.0029847536087036133,0.006005235290527344,0.00296083517074585,0.006607041549682617,0.003632391929626465,0.0035825664520263674,0.00533757438659668,0.005336777496337891,0.0032507232666015625,0.002890912055969238,0.003639860725402832,0.005303494262695312,0.0040833278656005854,0.0046186511993408196,0.004190630531311036,0.0029324944496154784,0.004208577537536621,0.003291888046264648
Op.MASS.2D.P8,0.004369066666666667,0.004678798484802247,0.006121535873413086,0.005998646545410156,0.00635590877532959,0.005913235092163086,0.0051255025863647455,0.0063382608413696286,0.004806028747558594,0.006667529678344726,0.005850982475280762,0.006328563308715821,0.006266398239135743,0.004693926420995516,0.006197542572021485,0.006380891227722168,0.006079068756103516,0.005729529571533203,0.004740540435637243,0.006148912048339844,0.005900972747802735,0.006165769577026367,0.006487873458862305,0.006649444961547852,0.0047455753707202715,0.004586798267079795,0.006331036758422851,0.005955011367797852,0.006530163192749024,0.004975520133972168,0.00459928150177002,0.006584324645996094,0.00650771713256836,0.006160406494140625,0.006268128013610839,0.0064233406066894535,0.004567715599052732,0.006216838455200195,0.00612592658996582,0.007254553222656251,0.006246316909790039,0.006368028831481933,0.006019913482666016,0.004626947596607165,0.0046029913186720105,0.006181660842895508,0.006902118682861328,0.007522652435302734,0.005923622512817383,0.006254598236083984,0.005933657455444336,0.009037254333496093,0.006544609451293946,0.006174745559692383,0.00831569595336914,0.006824649810791015,0.005941574478149415,0.0046752304077148435,0.006043132781982422,0.009334822082519532,0.008384928131103517,0.0046393308892008515,0.004563456702061709,0.00634588794708252,0.006589243316650391,0.004586300735283287,0.006429739379882813,0.007325516510009766,0.004748420135535546,0.007206813049316406,0.004578313105665737
Op.LAPLACE.2D.P1,2.1898717866666667e-05,7.192000150680541e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Op.LAPLACE.2D.P2,6.35500606060606e-05,0.00023802399635314942,0.0001885215997695923,0.00019573600292205811,0.00021236159801483155,0.0002228399991989136,0.0001885983943939209,0.0003194272041320801,0.00022997599840164184,0.0003149440050125122,0.0002125328063964844,0.0002532639980316162,0.00018669919967651368,0.0003323391914367676,0.00025430560111999517,0.00020162239074707032,0.00025712639093399047,0.00018816959857940674,0.0002431312084197998,0.00021722559928894042,0.00019743360280990603,0.0003009151935577393,0.0002319839954376221,0.0002288912057876587,0.00018862719535827637,0.0001869503974914551,0.00025914720296859743,0.00021534080505371096,0.00032221119403839113,0.0002638543963432312,0.00020426878929138184,0.0002589328050613403,0.0003401151895523071,0.0002400480031967163,0.0003156512022018433,0.00034072320461273195,0.0003612384080886841,0.00024128000736236573,0.00031048638820648194,0.0003415872097015381,0.0003653183937072754,0.0002131343960762024,0.00022343358993530274,0.0002639583945274353,0.0002632607936859131,0.00021528639793395995,0.0002251039981842041,0.00026344479322433473,0.0002642112016677857,0.0002949696063995361,0.0003509952068328858,0.00038517439365386966,0.0004138223886489868,0.000293721604347229,0.00035293118953704834,0.0003898383975028992,0.00041723358631134033,0.0002417504072189331,0.00019489599466323854,0.0002897248029708862,0.00022810560464859008,0.00021071040630340576,0.0003102144002914429,0.00032674400806427,0.00026801759004592895,0.00024765759706497193,0.00019780640006065368,0.0002997663974761963,0.00023243839740753175,0.0003197119951248169,0.00021834559440612794
